Unnamed: 0,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal
694,1329285,ARTACHO del SOLAR Mariafe,Female,27,AUS,Australia,VBV,Beach Volleyball,Women Team,2.0,Silver
695,1428978,ARTAMONOV Mikhail,Male,24,ROC,Russia,TKW,Taekwondo,Men -58kg,3.0,Bronze
698,1443243,ARTINGSTALL Karriss,Female,26,GBR,Great Britain,BOX,Boxing,Women's Feather (54-57kg),3.0,Bronze
706,1389034,ASAAD Man,Male,27,SYR,Syria,WLF,Weightlifting,Men's +109kg,3.0,Bronze
707,1302054,ASADAUSKAITE Laura,Female,37,LTU,Lithuania,MPN,Modern Pentathlon,Women's Individual,2.0,Silver
710,1336466,ASAMURA Hideto,Male,30,JPN,Japan,BSB,Baseball/Softball,Baseball Team,1.0,Gold
713,1443724,ASENCIO Jairo,Male,38,DOM,Dominican Republic,BSB,Baseball/Softball,Baseball Team,3.0,Bronze
715,1328563,ASENSIO Marco,Male,25,ESP,Spain,FBL,Football,Men Team,2.0,Silver
720,1477683,ASHER-SMITH Dina,Female,25,GBR,Great Britain,ATH,Athletics,Women's 4 x 100m Relay Team,3.0,Bronze
730,1279943,ASHRAM Linoy,Female,22,ISR,Israel,GRY,Rhythmic Gymnastics,Individual All-Around,1.0,Gold
742,1449695,ASLLANI Kosovare,Female,32,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
746,1304791,ASSADILOV Darkhan,Male,33,KAZ,Kazakhstan,KTE,Karate,Men's Kumite -67kg,3.0,Bronze
760,1312752,ATKINS Ariel,Female,25,USA,United States,BKB,Basketball,Women Team,1.0,Gold
767,1313718,ATSUMI Mana,Female,32,JPN,Japan,BSB,Baseball/Softball,Softball Team,1.0,Gold
785,1888997,AUSTIN Tyler,Male,29,USA,United States,BSB,Baseball/Softball,Baseball Team,2.0,Silver
788,1428424,AVERINA Dina,Female,22,ROC,Russia,GRY,Rhythmic Gymnastics,Individual All-Around,2.0,Silver
794,1459309,AWANG Mohd Azizulhasni,Male,33,MAS,Malaysia,CTR,Cycling Track,Men's Keirin,2.0,Silver
796,1366610,AXELSEN Viktor,Male,27,DEN,Denmark,BDM,Badminton,Men's Singles,1.0,Gold
847,1325896,BACH Marta,Female,28,ESP,Spain,WPO,Water Polo,Women Team,2.0,Silver
851,1286144,BACHKOV Hovhannes,Male,28,ARM,Armenia,BOX,Boxing,Men's Light (57-63kg),3.0,Bronze
854,1898462,BACMAGA Dominika,Female,25,POL,Poland,ATH,Athletics,4 x 400m Relay Mixed Team,1.0,Gold
856,1351194,BACOSI Diana,Female,38,ITA,Italy,SHO,Shooting,Skeet Women,2.0,Silver
859,1467592,BADLOE Kiran,Male,26,NED,Netherlands,SAL,Sailing,Men's Windsurfer - RS:X,1.0,Gold
881,1339640,BAJRANG Bajrang,Male,27,IND,India,WRE,Wrestling,Men's Freestyle 65kg,3.0,Bronze
886,1473810,BAKER Kurt,Male,32,NZL,New Zealand,RUG,Rugby Sevens,Men Team,2.0,Silver
894,1425895,BAKSHI Gleb,Male,25,ROC,Russia,BOX,Boxing,Men's Middle (69-75kg),3.0,Bronze
900,1387273,BALAZ Samuel,Male,22,SVK,Slovakia,CSP,Canoe Sprint,Men's Kayak Four 500m Team,3.0,Bronze
906,1896512,BALDWIN Roldani,Male,25,DOM,Dominican Republic,BSB,Baseball/Softball,Baseball Team,3.0,Bronze
908,1363538,BALEIWAIRIKI Iosefo Masikau,Male,23,FIJ,Fiji,RUG,Rugby Sevens,Men Team,1.0,Gold
924,1444575,BALSDON Grace,Female,28,GBR,Great Britain,HOC,Hockey,Women Team,3.0,Bronze
932,1351053,BALZER Sara,Female,26,FRA,France,FEN,Fencing,Women's Sabre Team,2.0,Silver
939,1335020,BANTI Caterina,Female,34,ITA,Italy,SAL,Sailing,Mixed Multihull - Nacra 17 Foiling Team,1.0,Gold
942,1388592,BAO Shanju,Female,23,CHN,China,CTR,Cycling Track,Women's Team Sprint Team,1.0,Gold
967,1481498,BARBER Kelsey-Lee,Female,29,AUS,Australia,ATH,Athletics,Women's Javelin Throw,3.0,Bronze
981,1351995,BAREGA Selemon,Male,21,ETH,Ethiopia,ATH,Athletics,"Men's 10,000m",1.0,Gold
982,1474928,BARKER Elinor,Female,26,GBR,Great Britain,CTR,Cycling Track,Women's Team Pursuit Team,2.0,Silver
996,1444661,BARRAS Tom,Male,27,GBR,Great Britain,ROW,Rowing,Men's Quadruple Sculls Team,2.0,Silver
1013,1361804,BARRIONUEVO Maria Noel,Female,37,ARG,Argentina,HOC,Hockey,Women Team,2.0,Silver
1020,1351790,BARROS Pedro,Male,26,BRA,Brazil,SKB,Skateboarding,Men's Park,2.0,Silver
1023,1328866,BARSHIM Mutaz Essa,Male,30,QAT,Qatar,ATH,Athletics,Men's High Jump,1.0,Gold
1038,1298747,BARTSCH-HACKLEY Michelle,Female,31,USA,United States,VVO,Volleyball,Women Team,1.0,Gold
1041,1483875,BARTY Ashleigh,Female,25,AUS,Australia,TEN,Tennis,Mixed Doubles Team,3.0,Bronze
1043,1436075,BARYARD-JOHNSSON Malin,Female,46,SWE,Sweden,EQU,Equestrian,Jumping Team,1.0,Gold
1046,1439725,BASHAEV Tamerlan,Male,25,ROC,Russia,JUD,Judo,Men +100 kg,3.0,Bronze
1067,1318426,BAT OCHIR Bolortuya,Female,24,MGL,Mongolia,WRE,Wrestling,Women's Freestyle 53kg,3.0,Bronze
1072,1312463,BATINI Martina,Female,32,ITA,Italy,FEN,Fencing,Women's Foil Team,3.0,Bronze
1081,1428779,BATSARASHKINA Vitalina,Female,24,ROC,Russia,SHO,Shooting,10m Air Pistol Women,1.0,Gold
1082,1428779,BATSARASHKINA Vitalina,Female,24,ROC,Russia,SHO,Shooting,25m Pistol Women,1.0,Gold
1083,1428779,BATSARASHKINA Vitalina,Female,24,ROC,Russia,SHO,Shooting,10m Air Pistol Mixed Team,2.0,Silver
1090,1337839,BATUM Nicolas,Male,32,FRA,France,BKB,Basketball,Men Team,2.0,Silver
1092,1425892,BATYRGAZIEV Albert,Male,23,ROC,Russia,BOX,Boxing,Men's Feather (52-57kg),1.0,Gold
1104,1324477,BAUMGART-WITAN Iga,Female,32,POL,Poland,ATH,Athletics,Women's 4 x 400m Relay Team,2.0,Silver
1105,1324477,BAUMGART-WITAN Iga,Female,32,POL,Poland,ATH,Athletics,4 x 400m Relay Mixed Team,1.0,Gold
1106,1444375,BAUTISTA Jose,Male,40,DOM,Dominican Republic,BSB,Baseball/Softball,Baseball Team,3.0,Bronze
1109,1326474,BAYNES Aron,Male,34,AUS,Australia,BKB,Basketball,Men Team,3.0,Bronze
1111,1889000,BAZ Shane,Male,22,USA,United States,BSB,Baseball/Softball,Baseball Team,2.0,Silver
1113,1362707,BAZAN VELEZ Lautaro,Male,25,ARG,Argentina,RUG,Rugby Sevens,Men Team,3.0,Bronze
1119,1483097,BEALE Daniel James,Male,28,AUS,Australia,HOC,Hockey,Men Team,2.0,Silver
1121,1433439,BEAUCHEMIN-PINARD Catherine,Female,27,CAN,Canada,JUD,Judo,Women -63 kg,3.0,Bronze
1123,1318619,BEAUGRAND Cassandre,Female,24,FRA,France,TRI,Triathlon,Mixed Relay Team,3.0,Bronze
1124,1444663,BEAUMONT Jack,Male,27,GBR,Great Britain,ROW,Rowing,Men's Quadruple Sculls Team,2.0,Silver
1136,1302235,BECKER Bowen,Male,24,USA,United States,SWM,Swimming,Men's 4 x 100m Freestyle Relay Team,1.0,Gold
1137,1330502,BECKER Charlotte,Female,38,GER,Germany,CTR,Cycling Track,Women's Team Pursuit Team,1.0,Gold
1139,1469399,BECKIE Janine,Female,26,CAN,Canada,FBL,Football,Women Team,1.0,Gold
1144,1458427,BEDNAREK Kenneth,Male,22,USA,United States,ATH,Athletics,Men's 200m,2.0,Silver
1155,1314161,BEKAURI Lasha,Male,21,GEO,Georgia,JUD,Judo,Men -90 kg,1.0,Gold
1162,1467593,BEKKERING Annemiek,Female,30,NED,Netherlands,SAL,Sailing,Women's Skiff - 49er  Team,3.0,Bronze
1167,1484036,BELCHER Mathew,Male,38,AUS,Australia,SAL,Sailing,Men's Two Person Dinghy - 470 Team,1.0,Gold
1170,1330685,BELENIUK Zhan,Male,30,UKR,Ukraine,WRE,Wrestling,Men's Greco-Roman 87kg,1.0,Gold
1174,1374079,BELJAJEVA Julia,Female,29,EST,Estonia,FEN,Fencing,Women's Épée Team,1.0,Gold
1192,1468605,BELTRAN Fernando,Male,23,MEX,Mexico,FBL,Football,Men Team,3.0,Bronze
1194,1483108,BELTZ Joshua,Male,26,AUS,Australia,HOC,Hockey,Men Team,2.0,Silver
1202,1406251,BELYAVSKIY David,Male,29,ROC,Russia,GAR,Artistic Gymnastics,Men's Team,1.0,Gold
1219,1465472,BENCIC Belinda,Female,24,SUI,Switzerland,TEN,Tennis,Women's Singles,1.0,Gold
1220,1465472,BENCIC Belinda,Female,24,SUI,Switzerland,TEN,Tennis,Women's Doubles Team,2.0,Silver
1227,1436065,BENGTSSON Rolf-Goran,Male,59,SWE,Sweden,EQU,Equestrian,Jumping Team,1.0,Gold
1234,1458826,BENJAMIN Rai,Male,25,USA,United States,ATH,Athletics,Men's 400m Hurdles,2.0,Silver
1235,1458826,BENJAMIN Rai,Male,25,USA,United States,ATH,Athletics,Men's 4 x 400m Relay Team,1.0,Gold
1241,1449679,BENNISON Hanna,Female,18,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
1246,1285968,BERARIU Stefan,Male,22,ROU,Romania,ROW,Rowing,Men's Four Team,2.0,Silver
1248,1351054,BERDER Cecilia,Female,31,FRA,France,FEN,Fencing,Women's Sabre Team,2.0,Silver
1250,1364244,BERECZ Zsombor,Male,35,HUN,Hungary,SAL,Sailing,Men's One Person Dinghy (Heavyweight) - Finn,2.0,Silver
1258,1318620,BERGERE Leo,Male,25,FRA,France,TRI,Triathlon,Mixed Relay Team,3.0,Bronze
1262,1337905,BERGSTROM Fredrik,Male,31,SWE,Sweden,SAL,Sailing,Men's Two Person Dinghy - 470 Team,2.0,Silver
1272,1335375,BERNAU Madelynn Ann,Female,23,USA,United States,SHO,Shooting,Trap Mixed Team,3.0,Bronze
1279,1312473,BERRE' Enrico,Male,28,ITA,Italy,FEN,Fencing,Men's Sabre Team,2.0,Silver
1285,1346200,BERTAZZO Liam,Male,29,ITA,Italy,CTR,Cycling Track,Men's Team Pursuit Team,1.0,Gold
1295,1291711,BERTI Gian Marco,Male,38,SMR,San Marino,SHO,Shooting,Trap Mixed Team,2.0,Silver
1298,1400596,BERTRAND Coralie,Female,27,FRA,France,RUG,Rugby Sevens,Women Team,2.0,Silver
1299,1304797,BERULTSEVA Sofya,Female,20,KAZ,Kazakhstan,KTE,Karate,Women's Kumite +61kg,3.0,Bronze
1316,1306486,BEUCKE Susann,Female,30,GER,Germany,SAL,Sailing,Women's Skiff - 49er  Team,2.0,Silver
1318,1462909,BEVAN Kelsey,Female,31,NZL,New Zealand,ROW,Rowing,Women's Eight Team,2.0,Silver
1333,1336746,BI Kun,Male,25,CHN,China,SAL,Sailing,Men's Windsurfer - RS:X,3.0,Bronze
1339,1307830,BIBOSSINOV Saken,Male,24,KAZ,Kazakhstan,BOX,Boxing,Men's Fly (48-52kg),3.0,Bronze
1346,1428184,BIDA Sergey,Male,28,ROC,Russia,FEN,Fencing,Men's Épée Team,2.0,Silver
1355,1348720,BILES Simone,Female,24,USA,United States,GAR,Artistic Gymnastics,Women's Balance Beam,3.0,Bronze
1357,1348720,BILES Simone,Female,24,USA,United States,GAR,Artistic Gymnastics,Women's Team,2.0,Silver
1364,1317083,BILODID Daria,Female,20,UKR,Ukraine,JUD,Judo,Women -48 kg,3.0,Bronze
1372,1312826,BIRD Sue,Female,40,USA,United States,BKB,Basketball,Women Team,1.0,Gold
1387,1468348,BITHELL Stuart,Male,34,GBR,Great Britain,SAL,Sailing,Men's Skiff - 49er Team,1.0,Gold
1391,1344635,BJELICA Ana,Female,29,SRB,Serbia,VVO,Volleyball,Women Team,3.0,Bronze
1397,1449708,BJORN Nathalie,Female,24,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
1407,1449720,BLACKSTENIUS Stina,Female,25,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
1408,1344648,BLAGOJEVIC Jelena,Female,32,SRB,Serbia,VVO,Volleyball,Women Team,3.0,Bronze
1410,1432399,BLAKE Jerome,Male,25,CAN,Canada,ATH,Athletics,Men's 4 x 100m Relay Team,3.0,Bronze
1415,1351040,BLAZE Anita,Female,29,FRA,France,FEN,Fencing,Women's Foil Team,2.0,Silver
1427,1428430,BLIZNYUK Anastasia,Female,27,ROC,Russia,GRY,Rhythmic Gymnastics,Group All-Around Team,2.0,Silver
1432,1449714,BLOMQVIST Rebecka,Female,24,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
1433,1366741,BLUME Pernille,Female,27,DEN,Denmark,SWM,Swimming,Women's 50m Freestyle,3.0,Bronze
1436,1343606,BLUMMENFELT Kristian,Male,27,NOR,Norway,TRI,Triathlon,Men's Individual,1.0,Gold
1438,1473812,BLYDE Michaela,Female,25,NZL,New Zealand,RUG,Rugby Sevens,Women Team,1.0,Gold
1439,1413342,BOARI Lucilla,Female,24,ITA,Italy,ARC,Archery,Women's Individual,3.0,Bronze
1442,1432400,BOATENG Bismark,Male,29,CAN,Canada,ATH,Athletics,Men's 4 x 100m Relay Team,3.0,Bronze
1446,1286502,BOBONOV Davlat,Male,24,UZB,Uzbekistan,JUD,Judo,Men -90 kg,3.0,Bronze
1449,1407688,BOBROVNIKOVA Vladlena,Female,33,ROC,Russia,HBL,Handball,Women Team,2.0,Silver
1451,1393600,BOCCARD Gauthier,Male,29,BEL,Belgium,HOC,Hockey,Men Team,1.0,Gold
1459,1287111,BODNAR Ancuta,Female,22,ROU,Romania,ROW,Rowing,Women's Double Sculls Team,1.0,Gold
1463,1301880,BODONYI Dora,Female,27,HUN,Hungary,CSP,Canoe Sprint,Women's Kayak Double 500m Team,3.0,Bronze
1464,1301880,BODONYI Dora,Female,27,HUN,Hungary,CSP,Canoe Sprint,Women's Kayak Four 500m Team,1.0,Gold
1469,1435955,BOGDAN Denis,Male,24,ROC,Russia,VVO,Volleyball,Men Team,2.0,Silver
1470,1344571,BOGDANOVIC Tijana,Female,23,SRB,Serbia,TKW,Taekwondo,Women -49kg,3.0,Bronze
1482,1476201,BOL Femke,Female,21,NED,Netherlands,ATH,Athletics,Women's 400m Hurdles,3.0,Bronze
1486,1282490,BOLACA Napolioni,Male,24,FIJ,Fiji,RUG,Rugby Sevens,Men Team,1.0,Gold
1494,1321082,BOLL Timo,Male,40,GER,Germany,TTE,Table Tennis,Men's Team,2.0,Silver
1505,1462911,BOND Hamish,Male,35,NZL,New Zealand,ROW,Rowing,Men's Eight Team,1.0,Gold
1507,1406332,BONDAR Aleksandr,Male,27,ROC,Russia,DIV,Diving,Men's Synchronised 10m Platform Team,3.0,Bronze
1511,1476202,BONEVACIA Liemarvin,Male,32,NED,Netherlands,ATH,Athletics,Men's 4 x 400m Relay Team,2.0,Silver
1519,1444376,BONIFACIO Emilio,Male,36,DOM,Dominican Republic,BSB,Baseball/Softball,Baseball Team,3.0,Bronze
1521,1398777,BONNAT MICHEL Zacarias,Male,25,DOM,Dominican Republic,WLF,Weightlifting,Men's 81kg,2.0,Silver
1528,1312771,BOOKER Devin,Male,24,USA,United States,BKB,Basketball,Men Team,1.0,Gold
1529,1401977,BOON Tom Alain,Male,31,BEL,Belgium,HOC,Hockey,Men Team,1.0,Gold
1534,1346303,BORCH Kjetil,Male,31,NOR,Norway,ROW,Rowing,Men's Single Sculls,2.0,Silver
1535,1330757,BORCHASHVILI Shamil,Male,26,AUT,Austria,JUD,Judo,Men -81 kg,3.0,Bronze
